x, y, z
-4147900.127180342, 2866509.078300303, -3893920.1906240406
-4147899.596176066, 2866509.805226656, -3893920.1723028845
-4147899.6318554254, 2866510.921532478, -3893917.8187251417
-4147899.888884458, 2866510.007510115, -3893919.014022112
-4147898.739825319, 2866512.4906118475, -3893917.9417385603
-4147899.313017339, 2866512.886730988, -3893917.045595429
-4147899.9805119876, 2866512.2541294773, -3893917.192912377
-4147898.503751251, 2866513.419115985, -3893916.763300263
-4147897.2685966925, 2866514.979711579, -3893916.663094826
-4147897.9801245625, 2866514.148899457, -3893916.7509615333
-4147899.89210258, 2866513.2869227915, -3893914.7230513026
-4147900.4097095914, 2866512.5507374466, -3893916.1636272604
-4147899.0757684535, 2866513.8144233883, -3893915.8689934323
-4147900.205047568, 2866511.3176514017, -3893916.9225820387
-4147900.142425993, 2866510.182726337, -3893917.8187251417
-4147900.9788511125, 2866509.666868475, -3893918.125697837
-4147900.4068332254, 2866509.2715613516, -3893919.020004529
-4147900.644080545, 2866508.343868549, -3893920.196606458
-4147900.8719068826, 2866508.5013135206, -3893918.9770059073
-4147900.0708877067, 2866507.9477495975, -3893921.092749329
-4147901.4015192473, 2866507.775666751, -3893920.4299207698
-4147901.35003595, 2866507.740087971, -3893918.9463460213
-4147901.443924833, 2866508.8966205367, -3893918.0826992253
-4147901.2600738048, 2866509.861214379, -3893916.953615812
-4147901.281305749, 2866510.9697776893, -3893916.0222927593
-4147900.874783829, 2866511.7804895793, -3893916.1206286685
-4147900.4488229663, 2866512.5777677437, -3893914.7656759843
-4147901.522186778, 2866511.1362445517, -3893914.8150308775
-4147902.313115566, 2866510.5889449595, -3893915.0790047804
-4147901.7343725394, 2866510.1889902623, -3893915.9669554406
-4147902.264724123, 2866509.4638539916, -3893915.985650481
-4147901.803085259, 2866509.144827147, -3893916.9842756847
-4147901.922053966, 2866508.1353948824, -3893918.0520393467
-4147902.2938743643, 2866508.3923503784, -3893916.9655806404
-4147902.056696413, 2866507.134552962, -3893919.130679241
-4147902.6287145275, 2866507.5298597906, -3893918.2363725235
-4147900.8283263044, 2866507.379547878, -3893921.326063694
-4147901.8221444096, 2866506.9724601787, -3893920.3439235077
-4147903.236607738, 2866506.858310652, -3893918.328352162
-4147902.417377562, 2866506.2921622186, -3893920.423938351
-4147902.664589539, 2866506.4630039157, -3893919.2226589005
-4147902.7018396636, 2866507.5803946685, -3893916.8676186088
-4147902.723072199, 2866508.6889579426, -3893915.936295576
-4147903.2950897724, 2866509.0842645476, -3893915.04198861
-4147901.5430889386, 2866511.150689513, -3893913.396922206
-4147902.308302275, 2866510.5856186156, -3893913.6365925074
-4147903.0135193113, 2866509.9813272487, -3893913.820551615
-4147901.0068027116, 2866511.8717245664, -3893913.372618666
-4147901.5396529553, 2866512.2399642006, -3893912.441295477
-4147902.128161485, 2866511.555018536, -3893912.5149538834
-4147902.672221653, 2866510.837114112, -3893912.5456137275
-4147903.2737855148, 2866510.161190584, -3893912.6316108517
-4147904.069995846, 2866509.6197821675, -3893912.901567041
-4147904.8154278793, 2866509.0410404643, -3893913.12254226
-4147904.7760218624, 2866506.8305108263, -3893914.9930076166
-4147904.8449740107, 2866507.969810291, -3893914.102846587
-4147903.690538387, 2866506.080362025, -3893916.8369587366
-4147904.2819418376, 2866506.4890652434, -3893915.960973028
-4147905.8951204577, 2866507.6038901447, -3893913.1778795402
-4147905.3525223047, 2866506.135025065, -3893915.054327333
-4147904.8521122406, 2866505.789205091, -3893916.0163103463
-4147905.8655743017, 2866508.6751203155, -3893912.1975751175
-4147904.4991930025, 2866509.916389263, -3893911.872281723
-4147905.1148607, 2866509.247970692, -3893911.970617542
-4147903.153245276, 2866511.1695373957, -3893911.56530945
-4147903.722368112, 2866510.4711945755, -3893911.620646717
-4147901.754422171, 2866512.3883858975, -3893911.209356217
-4147902.4794206875, 2866511.797764997, -3893911.4120102637
-4147903.6876655673, 2866511.5388617697, -3893910.6325235786
-4147904.1072429116, 2866510.7371717333, -3893910.546526494
-4147904.676365685, 2866510.038828738, -3893910.6018637484
-4147906.2896160376, 2866508.9681644095, -3893911.1604708983
-4147906.2788211303, 2866507.869055489, -3893912.105595606
-4147906.364676569, 2866505.7428494007, -3893914.0905078663
